Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"Recommended VNet structure for typical three-tier web application:","Single subnet for all tiers","Three-tier subnet design: web tier, application tier, database tier (all in one VNet). Use NSGs on subnets/NICs to control traffic: web→app→db only. Subnets provide segmentation boundaries; NSGs enforce traffic rules.","One VNet per tier","Load all compute in one subnet","B","Network layering: VNet contains subnets. Web tier (frontend), app tier (business logic), db tier (data). Each subnet has NSG restricting inbound/outbound. Rule example: web subnet NSG allows port 80/443 inbound from internet; app subnet NSG allows only from web tier on port 8080. Defense in depth = multiple segmentation layers.","VNet, Subnet, NSG, Network Architecture","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Multiple VNets need to communicate. Choose peering vs VPN Gateway approach:","VPN Gateways are always better","VNet Peering for pure Azure-to-Azure; uses Microsoft backbone (low latency, simple). VPN Gateway when you need on-prem connectivity or cross-region resilience. For internal Azure comms, peering is preferred unless gateway needed.","Peering is deprecated","Both are identical in performance","B","Connectivity decision: VNet Peering = internal Azure comms (high bandwidth, low latency, no gateway overhead). VPN Gateway = on-prem or complex routing scenarios. Peering first for Azure-only; add gateway only if needed for hybrid.","VNet, Peering, VPN Gateway, Connectivity","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Internal load distribution between web and app servers within a VNet:","Use Application Gateway for internal traffic","For purely internal Layer 4 (TCP/UDP) traffic distribution, use Internal Azure Load Balancer (ILB). Application Gateway for Layer 7 (HTTP/HTTPS) with WAF for web security. ILB = simple internal balancing. App Gateway = web-specific with WAF.","Application Gateway is mandatory","Both do the same thing","B","Load balancing tiers: Layer 4 (ILB) = simple TCP/UDP balancing, faster, lower cost. Layer 7 (App Gateway) = HTTP/HTTPS with path/host-based rules, WAF for web exploits. Internal web→app tier = ILB sufficient. If you need WAF protection, upgrade to App Gateway with WAF tier.","Load Balancer, Application Gateway, Layer 7, WAF","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Application Gateway requires which tier feature for web application firewall (WAF) protection?","Standard tier includes WAF","WAF capability requires WAF tier enabled (separate from Standard tier). Standard App Gateway alone does NOT include WAF. Standard = basic balancing. WAF tier = protection against OWASP Top 10 exploits (SQL injection, XSS, etc.).","All tiers include WAF","Premium tier only","B","App Gateway tiers: Standard = basic Layer 7 balancing. Standard + WAF tier = web security protection. The WAF feature is not included by default; you must explicitly select WAF-enabled tier. This is a common exam trap: assuming Standard includes WAF.","Application Gateway, WAF, Security, Web Protection","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Network Watcher: IP Flow Verify tool purpose and output:","General connectivity test","Point it at a VM, specify source/destination IP and port; it tells you which NSG rule (Allow/Deny) is affecting that specific traffic flow. Very granular: identifies the exact rule blocking/allowing that traffic.","Tests entire path including DNS","Tests firewall only","B","IP Flow Verify = rule-level debugging. You say 'can VM1 on port 3389 reach VM2?', it responds 'Rule X on NSG Y denies it' or 'Rule Z allows it.' Pinpoints the exact NSG rule. Faster than manually reviewing NSG configs.","Network Watcher, IP Flow Verify, NSG, Troubleshooting","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Network Watcher: Connection Troubleshoot tool scope and diagnostics:","Tests only NSG rules","End-to-end path testing: source VM → destination (VM/IP/FQDN). Validates routing, NSG rules, DNS resolution, everything. Tells you if connectivity works and if not, where it likely fails. Holistic diagnostic.","Tests only DNS","Tests only firewall","B","Connection Troubleshoot = full diagnostic. Source: 'VM1'. Destination: 'vm2.eastus.cloudapp.azure.com:443'. Output: 'Success' or 'Failed due to NSG rule X on subnet Y' or 'DNS failed for FQDN' or 'Routing unreachable.' One-stop diagnostic for multi-layer network issues.","Network Watcher, Connection Troubleshoot, Diagnostics, Networking","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Monitor central hub architecture: core components and query language:","Collects metrics only","Collects: metrics (numeric time series), logs (application/infrastructure events), activity logs (Azure control plane changes). Stores in Log Analytics workspaces. Queried using KQL (Kusto Query Language). Central hub for all telemetry.","Stores data locally on each VM","Uses only SQL for queries","B","Azure Monitor architecture: Resources send telemetry → Log Analytics workspace (central store) → query with KQL. Metrics = CPU%, disk queue. Logs = app error events. Activity logs = resource creation/deletion. KQL = powerful query language for log searching/analysis.","Azure Monitor, Log Analytics, KQL, Monitoring","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Monitor alert types: Metric alert use case and trigger mechanism:","Triggers on log patterns","Metric alert = numeric threshold-based (CPU %, disk queue length, network traffic). Triggers when value crosses threshold for X minutes (e.g., CPU > 85% for 5 minutes). Real-time performance monitoring.","Detects Azure resource changes","Looks for specific event patterns","B","Metric alert = when number goes bad. Examples: CPU spike, memory usage, network throughput. Threshold + duration = trigger. 'Alert if CPU > 80% for 3 consecutive minutes.' Real-time threshold monitoring.","Alerts, Metric Alerts, Azure Monitor, Thresholds","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Monitor alert types: Log Search alert use case and query mechanism:","Real-time numeric thresholds","Runs KQL queries against stored log data on a schedule; searches for patterns, specific events, trends. Examples: '> 500 errors in last hour' or 'multiple failed logins from one user.' Pattern matching and historical analysis.","Tracks resource changes only","Monitors CPU in real-time","B","Log Search alert = pattern detective. You write KQL: 'find events where error_code=500 | summarize count() | where count() > 10 in last 1 hour'. Finds degradation, anomalies, specific error patterns. Scheduled execution (not real-time). Powerful for complex alerting logic.","Log Search Alerts, KQL, Azure Monitor, Pattern Detection","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Monitor alert types: Activity Log alert use case and monitored events:","Metrics crossing thresholds","Activity log alert = Azure control plane changes (creating resource, deleting VM, updating NSG, assigning RBAC role). Tracks administrative events and change detection. Crucial for security auditing and governance monitoring.","Application error events","Network performance metrics","B","Activity Log alert = 'Who touched what?' Triggers when: 'VM deleted', 'NSG rule changed', 'RBAC assignment added', 'Storage account modified.' Essential for security compliance and detecting unauthorized changes. Change detection and governance.","Activity Log Alerts, Azure Monitor, Change Detection, Security","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Hybrid monitoring: On-prem VMs reporting to Azure Monitor. How is this accomplished?","Manual log copying via scripts","Install Azure Monitor Agent on on-prem VMs (or VMs in other clouds); agent sends metrics/security event logs to central Log Analytics workspace in Azure. Provides unified monitoring across hybrid environment (single pane of glass).","On-prem data is separate","Requires VPN-only connectivity","B","Hybrid telemetry: Deploy Azure Monitor Agent on on-prem VMs → agent connects to Log Analytics workspace via HTTPS → centralized view. You can query all VMs (cloud + on-prem) with single KQL query. Unified visibility across entire hybrid estate.","Hybrid Monitoring, Azure Monitor Agent, On-prem, Centralization","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Azure Policy can automatically deploy and configure which agent across all VMs for hybrid monitoring?","Domain Controller agent","Azure Monitor Agent; Policy can enforce agent deployment and diagnostic settings on all VMs, ensuring consistent log collection. Combined with agent, you achieve compliance-enforced centralized monitoring.","Windows Defender agent","Firewall agent","B","Policy + Agent automation: Create policy 'all VMs must have Azure Monitor Agent'. Policy deploys agent to compliant VMs, configures them to send logs to Log Analytics workspace. No manual per-VM setup. Compliance-driven operational consistency.","Azure Policy, Azure Monitor Agent, Automation, Governance","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Five pillars integration: Identity → Storage → Compute → Networking → Monitoring. Recap the data flow through architecture:","Each pillar is independent","Identity (RBAC/Entra DS) enables access → Storage (auth, replication, Kerberos) enforces permissions → Compute (ASP/ACI) delivers workloads → Networking (VNet/NSG/peering) secures flow → Monitoring (Azure Monitor/KQL) provides visibility. Cohesive integration; each pillar depends on predecessors.","No integration needed","All pillars do the same thing","B","Architectural flow: (1) Identity = who's allowed, (2) Storage = where data lives, how it's protected, (3) Compute = runs the apps using plan-level scaling, (4) Networking = subnets/NSG/peering controls traffic, (5) Monitoring = KQL queries see everything. Gaps in any pillar break the whole system.","Architecture, Five Pillars, Integration, Design","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
"Foundational governance concept underpinning all five pillars:","Password rotation policies","Resource tagging with Azure Policy enforcement. You cannot secure/govern/cost-manage resources you don't know exist. Mandate tags (owner, cost center, environment, sensitivity, etc.). Use Policy to DENY resource creation without required tags. No tag = no deployment. Inventory accountability from the start.","Licensing compliance only","Backup schedules","B","Inventory foundation: 'No tag, no resource' policy. Azure Policy: 'deny create storage unless tags:[owner, cost_center, environment] present'. Forces discipline. You know who owns what, where to charge costs, what environment it is, sensitivity level. Governance and accountability baked in from deployment, not retrofit.","Tagging, Azure Policy, Governance, Inventory","Deep Dive Transcript","Hybrid Azure Mastery Deep Dive Batch"
