Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"A multi-tier app needs to distribute TCP/UDP traffic across 10 VMs with source IP session affinity and health probes. Which service?","Application Gateway (Layer 7, HTTP/HTTPS)","Azure Front Door (global HTTP routing)","Azure Load Balancer (Layer 4, TCP/UDP)","Traffic Manager (DNS-based routing)","C","Azure Load Balancer operates at Layer 4 (transport) to distribute TCP/UDP traffic across backend VMs/VMSS with health probes (HTTP/HTTPS/TCP) and configurable distribution mode (5-tuple hash or source IP affinity). Use for non-HTTP workloads like RDP, SSH, database clustering; supports internal (private IP) and public (internet-facing) variants; integrates with availability sets/zones for HA.","Networking,Load Balancer,Layer 4,Golden Rule Enriched","MS Learn - Load Balancer Overview","Golden Rule Enriched Part 2"
"The primary rule for choosing Azure Load Balancer vs Application Gateway is:","Always use Load Balancer for lower cost","Use Application Gateway for all web apps by default","Match to OSI layer: Load Balancer for Layer 4 (TCP/UDP), Application Gateway for Layer 7 (HTTP/HTTPS with WAF/SSL)","Choose based on region availability only","C","GOLDEN RULE: Load Balancer handles any TCP/UDP traffic (databases, RDP, custom ports) at Layer 4 with simple hash-based distribution. Application Gateway provides Layer 7 features (URL routing, SSL termination, WAF, cookie affinity) for HTTP/HTTPS workloads. Avoid using Application Gateway for non-HTTP protocols; combine both (App Gateway frontend → Load Balancer backend) for complex multi-tier architectures.","Networking,Load Balancer,Application Gateway,Best Practice,Golden Rule Enriched","MS Learn - Load Balancing Comparison","Golden Rule Enriched Part 2"
"A global SaaS platform needs DNS-based failover between 5 regional endpoints with health monitoring and performance routing. Which service?","Azure Load Balancer (regional Layer 4)","Application Gateway (regional Layer 7)","Traffic Manager (global DNS routing)","Azure Front Door (global HTTP acceleration)","C","Traffic Manager provides DNS-based traffic distribution across global endpoints with health probes and routing methods (Priority for failover, Performance for latency-based, Geographic for compliance). It operates at DNS layer (returns endpoint IPs), not application layer; use for multi-region HA, geo-fencing, or failover to on-premises; combine with regional load balancers for zone-level distribution.","Networking,Traffic Manager,Global Routing,Golden Rule Enriched","MS Learn - Traffic Manager","Golden Rule Enriched Part 2"
"A Windows VM running SQL Server needs app-consistent backups without downtime. What must you enable?","Crash-consistent snapshot only","Volume Shadow Copy Service (VSS) integration","Stop VM before backup","Disable Azure guest agent","B","VSS integration coordinates with application writers (SQL VSS Writer) to flush transactions and quiesce I/O for app-consistent snapshots. Crash-consistent lacks transactional guarantees and may require SQL recovery on restore; ensure Azure VM agent is installed and running; Linux uses filesystem freeze (fsfreeze) for similar app consistency.","Backup,VM Backup,VSS,Golden Rule Enriched","MS Learn - VM Backup Consistency","Golden Rule Enriched Part 2"
"To restore an Azure Disk Encryption (ADE) encrypted VM to a new resource group, what prerequisite is critical?","Source VNet must exist in target RG","NSG rules must allow RDP/SSH","Key Vault and disk encryption keys (BEK/KEK) accessible to target subscription/region","Backup retention must be ≥180 days","C","ADE-encrypted restores require Key Vault access for BitLocker Encryption Keys (BEK) and optional Key Encryption Keys (KEK) to unlock disks post-restore. Grant 'Microsoft.Compute' service principal access to Key Vault; ensure KEK is in same region as target VM; cross-region restores may need key replication; validate with 'Get-AzKeyVaultKey' before initiating restore.","Backup,Encryption,VM Restore,ADE,Golden Rule Enriched","MS Learn - ADE VM Restore","Golden Rule Enriched Part 2"
"GOLDEN RULE: Before restoring encrypted VMs, always:","Disable NSG rules temporarily","Delete the original VM to free resources","Verify Key Vault access, encryption keys availability, and target region compatibility","Use crash-consistent restore points only","C","GOLDEN RULE: ADE/SSE-encrypted VM restores fail if Key Vault is deleted, keys are disabled, or service principal lacks 'get/unwrapKey' permissions. Pre-restore checklist: (1) confirm Key Vault exists and is accessible, (2) validate BEK/KEK are enabled in target region, (3) assign 'Key Vault Secrets User' RBAC to restore identity, (4) test restore to temporary RG first; document encryption dependencies in DR runbooks.","Backup,Encryption,Best Practice,Golden Rule Enriched","MS Learn - VM Restore Best Practices","Golden Rule Enriched Part 2"
"A Standard Load Balancer must route traffic only to healthy backend VMs on custom port 8080/TCP. What must you configure?","HTTP probe on port 80","HTTPS probe with SSL cert","Custom TCP health probe on port 8080","No probe; use manual backend pool management","C","Configure a health probe matching backend workload protocol and port (TCP 8080) to mark VMs healthy/unhealthy based on probe response. Probe interval (default 5s) and unhealthy threshold (default 2 consecutive failures) determine detection time; probe failures trigger automatic removal from load balancer rotation; use HTTP probes with /health endpoints for richer app-level health signals.","Networking,Load Balancer,Health Probes,Golden Rule Enriched","MS Learn - Load Balancer Probes","Golden Rule Enriched Part 2"
"The critical principle for Load Balancer health probe configuration is:","Use HTTP probes on port 80 for all scenarios","Match probe protocol and port to backend application's actual listening endpoint","Disable probes to avoid false positives","Use default probe settings without customization","B","GOLDEN RULE: Health probes must target the actual application port and protocol (TCP 8080, HTTP 443/health, etc.) to accurately detect service health. Mismatched probes cause healthy VMs to be marked unavailable or failed VMs to remain in rotation; set probe path to a lightweight endpoint (/ping) that validates dependencies (DB, cache); monitor 'Health Probe Status' metric to detect flapping.","Networking,Load Balancer,Best Practice,Golden Rule Enriched","MS Learn - Health Probe Design","Golden Rule Enriched Part 2"
"A data archive team wants to move frequently accessed Hot blobs to Archive tier to save costs. What's the key tradeoff?","Archive provides millisecond access latency","Archive eliminates all retrieval charges","Archive requires rehydration (hours) and incurs per-GB retrieval costs","Archive increases storage costs by 50%","C","Archive tier reduces storage to ~$0.002/GB/month but requires rehydration (Standard priority ~15 hours, High priority <1 hour) and charges $0.02-$0.10/GB for retrieval. Frequent access from Archive negates cost savings; use Cool for monthly access (≥30 days), Archive for yearly+ access (≥180 days); implement lifecycle policies to auto-tier based on last-modified time.","Storage,Blob Tiers,Cost,Archive,Golden Rule Enriched","MS Learn - Blob Tier Tradeoffs","Golden Rule Enriched Part 2"
"The fundamental rule when selecting between Hot, Cool, and Archive blob tiers is:","Always use Archive for maximum savings","Use Hot for all data to avoid rehydration delays","Match tier to access frequency and calculate total cost (storage + access + retrieval)","Choose tier based on blob size only","C","GOLDEN RULE: Total Cost of Ownership = (storage rate × GB × months) + (transaction cost × operations) + (retrieval cost × GB rehydrated). Hot optimizes for frequent access (daily+), Cool for infrequent (monthly, ≥30 days), Archive for rare (yearly, ≥180 days). Use Azure Pricing Calculator to model scenarios; monitor access logs (Storage Analytics) to validate tier selection; automate with lifecycle management policies.","Storage,Blob Tiers,Cost Optimization,Best Practice,Golden Rule Enriched","MS Learn - Blob Tier Selection","Golden Rule Enriched Part 2"
"An automation account running AzCopy across 10 subscriptions must avoid storing secrets in code. What's the secure setup?","SAS token with 1-year expiry in config file","Shared Key stored in Azure Key Vault","User-assigned Managed Identity with Storage Blob Data Contributor RBAC","Connection string in environment variable","C","User-assigned managed identity provides credential-free access across subscriptions without secret rotation burden. Assign identity to automation resource (VM, Function, AKS), grant 'Storage Blob Data Contributor' on target storage accounts, use '--identity' flag or AZURE_CLIENT_ID; supports Azure Policy enforcement and conditional access; avoid shared keys (full account access) and long-lived SAS (rotation complexity).","Security,Automation,AzCopy,Managed Identity,Golden Rule Enriched","MS Learn - AzCopy Managed Identity","Golden Rule Enriched Part 2"
"GOLDEN RULE for securing AzCopy in cross-subscription automation scenarios:","Shared Key provides simplest implementation","SAS tokens with long expiry minimize rotation overhead","User-assigned Managed Identity with RBAC eliminates secret storage and supports least-privilege access","Store connection strings in Azure Key Vault for centralized management","C","GOLDEN RULE: Managed identity is the secure default for production automation because it avoids secret sprawl, integrates with Azure AD conditional access, and supports audit trails via Azure Monitor. Grant role at resource group or storage account scope (Storage Blob Data Reader/Contributor/Owner); validate with 'az role assignment list'; rotate identity credentials via Azure portal/CLI without code changes; document identity assignments in IaC templates.","Security,Automation,Best Practice,Golden Rule Enriched","MS Learn - Managed Identity Best Practices","Golden Rule Enriched Part 2"
"A virtual machine stops responding and shows high disk latency. Which metric indicates the VM size is undersized for disk performance?","Disk IOPS Consumed Percentage = 100%","Network In Total < 10 MB/s","CPU Percentage = 50%","Available Memory > 2 GB","A","'Disk IOPS Consumed Percentage' reaching 100% indicates VM IOPS limit is saturating, causing disk throttling and increased latency. Each VM size has IOPS/throughput caps independent of disk SKU (e.g., Standard_D2s_v3 = 3,200 IOPS max); resize to higher SKU (Dsv3, Esv3) or switch to Premium SSD with higher IOPS allocation; monitor 'Disk Bandwidth Consumed Percentage' for throughput bottlenecks.","Compute,VM Performance,Disk Throttling,Golden Rule Enriched","MS Learn - VM Disk Performance","Golden Rule Enriched Part 2"
"The core principle for diagnosing VM disk performance issues is:","Always upgrade to Ultra Disk immediately","Monitor both 'Disk IOPS Consumed %' and 'Disk Bandwidth Consumed %' to identify throttling","Increase disk size to get more IOPS","Disable caching to improve performance","B","GOLDEN RULE: VM-level IOPS and throughput caps apply regardless of disk SKU—a Standard_D2s_v3 VM with Premium SSD P30 disk is still capped at VM's 3,200 IOPS limit. Check 'Disk IOPS/Bandwidth Consumed %' metrics in Azure Monitor; if consistently at 100%, resize VM to higher SKU with greater limits; use Premium SSD or Ultra Disk with appropriate caching (ReadOnly for databases, ReadWrite for general workloads).","Compute,VM Performance,Best Practice,Golden Rule Enriched","MS Learn - VM Performance Monitoring","Golden Rule Enriched Part 2"
"A business-critical app requires a recovery plan that restores operations within 4 hours with ≤1 hour data loss. What are the RTO and RPO?","RTO=1 hour, RPO=4 hours","RTO=4 hours, RPO=1 hour","RTO=4 hours, RPO=4 hours","RTO=1 hour, RPO=1 hour","B","RTO (Recovery Time Objective) = maximum downtime tolerance (4 hours to restore operations); RPO (Recovery Point Objective) = maximum data loss tolerance (1 hour of recent transactions). RTO drives DR infrastructure (hot standby, failover automation); RPO drives backup frequency (hourly snapshots, continuous replication); measure both in DR testing and document in SLAs.","Backup,DR,RTO,RPO,Golden Rule Enriched","MS Learn - RTO and RPO","Golden Rule Enriched Part 2"
"GOLDEN RULE: When designing backup and DR strategies, the foundational decision is:","Maximize backup retention to 10 years by default","Define RTO and RPO requirements first, then select appropriate backup frequency and replication topology","Always use GRS for all storage accounts","Minimize backup windows to reduce costs","B","GOLDEN RULE: RTO and RPO are business-driven SLA requirements that dictate technical architecture. Low RPO (<15 min) requires continuous replication (RA-GZRS, Azure Site Recovery); low RTO (<1 hour) needs hot standby or zone-redundant configs. Map requirements to backup frequency (RPO), retention policies, and failover automation (RTO); validate with DR drills; document in business continuity plan and review quarterly.","Backup,DR,Best Practice,Golden Rule Enriched","MS Learn - DR Planning","Golden Rule Enriched Part 2"
