Question,ChoiceA,ChoiceB,ChoiceC,ChoiceD,Correct,Explanation,Tags,Source,Batch
"Privileged Identity Management (PIM): What specific threat does it address, and what license tier is required?","Standing privilege exposure (standing admin 24/7); Requires Entra ID P2","Adaptive access policies (Conditional Access tier); P1 licensed","Multi-factor authentication (MFA tier); P1 licensed","Session timeouts (basic security); Free tier","A","PIM solves 'standing privilege' problem: admin accounts always-on = always-exploitable. PIM enforces just-in-time (JIT): request → approve → activate for 4hrs → auto-deactivate. Requires Entra ID P2 (top tier). Dramatically shrinks compromise window vs standing admin.","PIM, Privileged Access, Just-In-Time, Licensing","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Just-In-Time (JIT) access via PIM: what happens after the activation window expires?","Role remains active indefinitely","Privilege automatically revoked (user must re-request to reactivate)","User can extend indefinitely by clicking extend","Role downgrades to viewer but stays active","B","JIT + auto-expiration = security through time constraints. Activate global admin for 4 hours; after 4 hours, privilege automatically removed (no manual cleanup). User must submit new JIT request to reactivate. Dramatically reduces compromise window compared to standing 24/7 admin.","PIM, JIT, Privilege Expiration","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Regional disaster protection at lowest cost: GRS or ZRS? Why?","ZRS (zone redundant; lower cost)","GRS (geo-redundant to distant secondary region; asynchronous cheaper than ZRS sync)","Both cost same","LRS (local only; lowest)","B","GRS = asynchronous copy to secondary region (hundreds of miles away), survives complete region failure, cheaper async replication. ZRS = synchronous across 3 zones (same region, expensive sync), survives single zone failure. For regional disaster budget-optimization: GRS wins (async cheaper than ZRS sync).","Storage Replication, GRS, ZRS, Cost Optimization","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"What specific problem is Zone Redundant Storage (ZRS) designed to solve vs GRS?","Faster replication","Survives single availability zone failure within a region (3 sync copies across 3 AZs, same region); GRS is for cross-region failure","Reduces storage account cost","Works outside Azure regions","B","ZRS = intra-region resilience (AZ failure). GRS = inter-region resilience (entire region failure). ZRS synchronous across 3 physical data centers in same region (low-latency, higher cost). GRS asynchronous to distant region (cheaper, higher RPO ~15min).","Storage Replication, ZRS, Zone Redundancy","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Two vault types for VM disaster recovery: Recovery Services Vault vs Azure Backup Vault—design intent difference?","Both are identical; just branding","Recovery Services Vault = comprehensive (VMs, SQL, file shares, full lifecycle). Azure Backup Vault = specialist (disk snapshots, policy-driven, fast backups)","Azure Backup Vault is deprecated","Recovery Services Vault is newer","B","RSV (original workhorse) = manages traditional backup + replication lifecycle for VMs/SQL/shares. Backup Vault (modern specialist) = focused on disk snapshot management, policy-driven, designed for super-fast backup/recovery cycles. Choose RSV for traditional full-VM backup; Backup Vault for disk-centric fast recovery.","Vault, Recovery Services, Azure Backup, Architecture","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Recovery Services Vault vs Azure Backup Vault: which is the 'Swiss Army knife' and which is the 'scalpel'?","Both are interchangeable tools","RSV = comprehensive Swiss Army knife (full backup/replication lifecycle). Backup Vault = specialized scalpel (disk snapshots, fast policies)","Backup Vault is the Swiss Army knife","Neither; they serve identical purposes","B","RSV handles everything (VMs, SQL, File Shares, ASR replication). Backup Vault = laser-focused on disk snapshots with policy automation for rapid provisioning. Mnemonic: 'RSV = everything; Backup Vault = just fast disks.'","Vault Architecture, Decision Framework","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Azure Site Recovery (ASR) supports three failover types. Which one MUST NOT be skipped for disaster recovery validation?","Planned failover (graceful migration, both sites online)","Test failover (isolated sandbox, validates DR plan without disruption; fire drill mandatory)","Unplanned failover (emergency button, primary down)","None; skip directly to unplanned","B","Test failover = fire drill. ASR spins up replicated VM in isolated sandbox network, zero impact to production replication or live services. ONLY way to validate DR plan is viable before emergency. Planned failover = controlled maintenance. Unplanned failover = emergency (when test failover should have validated it works first).","ASR, Failover, DR Testing, Validation","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Planned vs Unplanned ASR failover: when is each used operationally?","Planned = emergency; Unplanned = maintenance","Planned = graceful maintenance (both sites online, controlled cutover). Unplanned = big red emergency button (primary failed unexpectedly).","Both are identical","Planned = testing only","B","Planned failover = you schedule maintenance downtime, gracefully migrate workloads, both source/target online during transition. Unplanned failover = primary region failed suddenly, must activate DR immediately without coordination. Test failover validates the mechanics first (sandbox only).","ASR, Failover, Operational","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"After unplanned failover in ASR, what sequence must occur to restore bi-directional replication?","Ignore; failover is permanent","Commit (locks recovery point as new primary) → Reprotect (bi-directional replication restored); Reprotect is non-optional","Wait 24 hours for auto-reprotect","Re-run test failover","B","Unplanned failover sequence: failover executed → secondary becomes production → Commit (official lock, no reverse path) → Reprotect (replication reversed, secondary now protects primary). Reprotect is non-negotiable for recovery redundancy; skipping it leaves single point of failure.","ASR, Failover Recovery, Replication","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"How do you detect if an ASR replication lag is emerging (check frequency dropping below SLA)?","Visual dashboard only","Azure Activity Log alerts for agent crashes, OR KQL log search queries over time on replication metrics; proactive detection","Manual checkpoint reviews","Wait for failover notification","B","Replication health = continuous monitoring. Activity Log alert = detects ASR agent crash (catastrophic). Log search with KQL = tracks replication delta over time (lagging replication detected before SLA breach). Both needed for operational visibility.","ASR, Monitoring, Proactive Detection, KQL","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"Tagging resources for cost allocation by department: tags alone sufficient for billing separation?","Yes; tags auto-separate billing buckets","No; tags are metadata labels only. Requires dedicated Azure service for financial oversight (Cost Management + Budget controls) to enforce billing attribution and separation","Tags create billing buckets automatically","Tagging eliminates cost management complexity","B","Tags = labels (no enforcement). Cost Management + Budget Alerts = actual financial controls (spending caps, attribution, departmental allocation). Tags tag cost; budgets enforce it. Both needed for proper FinOps.","Tagging, Cost Management, FinOps, Governance","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
"For proper cost separation and budget attribution by department, which dedicated Azure service must you configure alongside tags?","Azure Policy","Cost Management + Budget (financial governance service; whose job is managing budgets, cost alerts, attribution)","Network Watcher","Application Insights","B","Tags label cost; Cost Management enforces/separates/alerts. Mnemonic: 'Tags are labels; Cost Management is enforcement.' Configure Cost Management budgets per department (tied to tags) for true financial accountability and billing separation.","Cost Management, Budgets, FinOps, Governance","Deep Dive Transcript","Storage Identity Resilience Untangled Batch"
